
mechdef_urbanking_URK-SH1,Mech,1,1
mechdef_colossalturtle_CTR-1,Mech,1,1
mechdef_colossalturtle_CTR-2,Mech,1,1
mechdef_alpha_MAD-AL-SH,Mech,1,1
mechdef_scorch_MAD-IIC-SH,Mech,1,1
mechdef_hyperion_HYP-GB,Mech,1,1
mechdef_hyperion_HYP-PRIME,Mech,1,1
mechdef_hyperion_HYP-A,Mech,1,1
mechdef_hyperion_HYP-B,Mech,1,1
mechdef_hyperion_HYP-C,Mech,1,1
mechdef_monster_MNST-3R-LAM,Mech,1,1
mechdef_monster_MNST-3R-LAM-PRIME,Mech,1,1
mechdef_omega_SHP-LJP-O,Mech,1,1
mechdef_omega_SHP-MK,Mech,1,1
mechdef_omega_SHP-SB,Mech,1,1
mechdef_xerxes_XER-4W,Mech,1,1
mechdef_xerxes_XER-MKD,Mech,1,1
