BTA_List_SalvageYard_Assault,,,
BTA_List_SalvageYard_Superheavy,Reference,2,6
mechdef_bane_BNE-1,MechPart,1,5
mechdef_bloodasp_PRIME,MechPart,1,5
mechdef_canis_CNS-1,MechPart,1,5
mechdef_direwolf_DW-PRIME,MechPart,1,5
mechdef_executioner_PRIME,MechPart,1,5
mechdef_executioner-B_PRIME,MechPart,1,5
mechdef_gargoyle_GAR-PRIME,MechPart,1,5
mechdef_highlander_HGN-IIC-1,MechPart,1,5
mechdef_ironcheetah_IC-PRIME,MechPart,1,5
mechdef_kingfisher_KNG-Prime,MechPart,1,5
mechdef_kodiak_1,MechPart,1,5
mechdef_madcatmkii_1,MechPart,1,5
mechdef_marauderiic_MAD-IIC,MechPart,1,5
mechdef_naga_NGA-PRIME,MechPart,1,5
mechdef_nagaii_NGA-II-PRIME,MechPart,1,5
mechdef_omen_OMN-1,MechPart,1,5
mechdef_osteon_EON-PRIME,MechPart,1,5
mechdef_scylla_SCY-1,MechPart,1,5
mechdef_stonerhino_STR-1,MechPart,1,5
mechdef_stormgiant_STM-1,MechPart,1,5
mechdef_supernova_SNV-1,MechPart,1,5
mechdef_turkina_TRK-PRIME,MechPart,1,5
mechdef_warhammer_WHM-IIC,MechPart,1,5
mechdef_warhawk_PRIME,MechPart,1,5
mechdef_crusher_CRH-Y4,MechPart,1,4
mechdef_dillinger_DLN-3R,MechPart,1,4
mechdef_embrasure_EMB-7D,MechPart,1,4
mechdef_lithobolos_LTH-B0,MechPart,1,4
mechdef_menoetes_MNO-D,MechPart,1,4
mechdef_piledriver_PLD-4R,MechPart,1,4
mechdef_rashnu_RSH-4V,MechPart,1,4
mechdef_taranis_TRN-5D,MechPart,1,4
