BTA_List_SalvageYard_Heavy,,,
mechdef_blackpython_BP-1,MechPart,1,5
mechdef_bowman_BOW-1,MechPart,1,5
mechdef_ebonjaguar_PRIME,MechPart,1,5
mechdef_glassspider_GLS-1,MechPart,1,5
mechdef_grizzly_GRZ-1,MechPart,1,5
mechdef_hellbringer_HBR-Prime,MechPart,1,5
mechdef_hellfire_HLF-1,MechPart,1,5
mechdef_linebacker_LBK-PRIME,MechPart,1,5
mechdef_lupus_PRIME,MechPart,1,5
mechdef_maddog_PRIME,MechPart,1,5
mechdef_minsk_MNK-101,MechPart,1,5
mechdef_nightgyr_NTG-PRIME,MechPart,1,5
mechdef_NovaCat_NCT-Prime,MechPart,1,5
mechdef_orion_ON1-IIC,MechPart,1,5
mechdef_rifleman_RFL-IIC,MechPart,1,5
mechdef_sidewinder_SW-PRIME,MechPart,1,5
mechdef_spiritwalker_SWK-PRIME,MechPart,1,5
mechdef_summoner_PRIME,MechPart,1,5
mechdef_sunspider_SNS_PRIME,MechPart,1,5
mechdef_timberwolf_TW-PRIME,MechPart,1,5
mechdef_visionquest_VQ-2NC,MechPart,1,5
mechdef_woodsman_WDM-PRIME,MechPart,1,5
mechdef_kinzhal_KZH-4D,MechPart,1,4
mechdef_knight_KNT-2D,MechPart,1,4
mechdef_swoopingfalcon_SPF-11G,MechPart,1,4
mechdef_uranus_URN-8S,MechPart,1,4
